round,safe_mean_us,unsafe_mean_us,mean_safe_over_unsafe,mean_latency_reduction_pct,safe_slope_us,unsafe_slope_us,slope_safe_over_unsafe,slope_latency_reduction_pct
1,10.929334,10.357944,1.055164,5.228042,10.865899,10.366198,1.048205,4.598802
2,10.486441,10.214047,1.026669,2.597584,10.378894,10.266281,1.010969,1.085017
3,10.188024,10.385888,0.980949,-1.942117,10.164504,10.347022,0.982360,-1.795637
4,10.387552,10.073458,1.031180,3.023752,10.402771,10.051070,1.034991,3.380839
5,10.245104,10.691311,0.958265,-4.355318,10.242584,10.727593,0.954789,-4.735220
